CLASS / SESSION,TYPE,TRAINER,DURATION (hour),DURATION (min),PAX (max),DESCRIPTION,FEE,OTHER COSTS,ADDITIONAL DETAILS,CONTACT,FOLDER LINK
"Wellnessible Coaching, 2 sessions/month",,"Wellnessible, Mikki Sachiko",4,,99,"MentalHealth
Fitness& Workout Session(virtualoronsite)
HolisticHealthAssessmenta n d Individualizedrecommendations
FinancialWellnessGuidancet o managemoney
GrowthMindsetforHighPerformance
SleepHygiene RelaxationTechniquest omanagestressandanxiety
MindfulnessSession
NutritionGuidance
Icebathforresilience
RedLightTherapy","PHP 65,000",,,,
"Wellnessible Coaching, 6 sessions spread out within 3months",,"Wellnessible, Mikki Sachiko",12,,99,"MentalHealth
Fitness& Workout Session(virtualoronsite)
HolisticHealthAssessmenta n d Individualizedrecommendations
FinancialWellnessGuidancet o managemoney
GrowthMindsetforHighPerformance
SleepHygiene RelaxationTechniquest omanagestressandanxiety
MindfulnessSession
NutritionGuidance
Icebathforresilience
RedLightTherapy","PHP 177,000",,,,
Fit Boots,Workout,"Rebecca Bueno, Fit & Fierce Bounce PH",1,,11,"Bounce your way to fitness with Fit & Fierce Bounce PH!

Experience the ultimate rebounding workout that combines fun, energy, and incredible results. We are the first in the Philippines to incorporate specialized FitBoots into our classes, taking your bouncing experience to the next level.

Our dynamic routines, led by passionate instructors, will have you jumping, twisting, and grooving to the beat, all while strengthening your muscles, improving your balance, and boosting your cardio fitness. The supportive FitBoots enhance stability and reduce impact on your joints, ensuring a safe and enjoyable workout for everyone.   

Whether you're a fitness enthusiast or just starting your journey, Fit & Fierce Bounce PH offers a welcoming and inclusive environment where you can achieve your goals and have a blast doing it. Get ready to feel the burn, boost your mood, and unleash your inner fierceness!",PHP 2000 / Class,"- FITBOOTS Rental: PHP 249
- Transportation not included","- 2 Xsmall: Fits sizes 4.5-6
- 6 Small: Fits sizes 6.5-9
- 2 Medium: Fits sizes 9.5-12
- 1 Large: Fits sizes 12-14","Rebecca Bueno
Founder & CEO
Contact# 09625281226",
Holistic Coaching Program: Thriving Thru Transitions ,Workshop ,Joanne dela Rama,1,,,,"Cost per attendee (1 hour session): P1,000.00
Corporate (1 hour session): P15,000.00",,,,
Morning Mastery,Workshop ,Will Devaughn ,1,,,,"""Cost per attendee (1 hour session): P3,000.00
Corporate (1 hour session): P30,000.00""",,,,
Holistic Nutrition,Nutrition,Sonaal Nandwani ,1,,20,,"5,000",,,,
Mixxedfit ,Dance ,Donna Lim ,1,,20,"Get fit and have fun with MixxedFit!

This exhilarating dance fitness program combines explosive moves with body toning for a full-body workout. Torch calories, improve coordination, boost your mood, and feel empowered, all while dancing to your favorite tunes. Suitable for all fitness levels, MixxedFit is the perfect way to get in shape and unleash your inner dancer!

Benefits of MixxedFit:

Full-body workout: Engage every muscle in your body, from head to toe, for a comprehensive and effective workout.

Cardiovascular boost: Elevate your heart rate and improve your endurance, helping you torch calories and achieve your fitness goals.

Improved coordination and balance: Master complex dance moves and sequences, enhancing your agility and grace.

Stress relief: Dance your worries away, release endorphins, and boost your mood for a happier and healthier you.

Fun and engaging: Say goodbye to boring workouts! MixxedFit's energetic atmosphere and infectious music will keep you coming back for more.

Suitable for all fitness levels: Whether you're a seasoned dancer or just starting out, MixxedFit offers modifications and challenges to cater to everyone.

Join the MixxedFit community today and discover the joy of dance fitness!","2500 BGC / Makati 
2000 QC/ Manila ",Transportation included,,,
Tropixx ,Dance,Donna Lim ,1,,20,"Unleash your inner islander with our exhilarating dance workout! Get fit while grooving to the hottest Polynesian and island-inspired beats. Our energetic classes blend Tahitian, Hawaiian, and contemporary dance moves for a full-body workout that's fun, effective, and accessible to all levels. Experience the vibrant spirit of the islands and dance your way to a healthier, happier you!","2500 BGC / Makati
2000 QC/ Manila ",Transportation included,,,
Yoga ,Workout,Donna Lim ,1,,20,,"2500 BGC / Makati
2000 QC/ Manila ",Transportation included,,,
Kick Boxing,Workout,Donna Lim ,1,,20,,"2500 BGC / Makati
2000 QC/ Manila",Transportation included,,,
