Month,Week,Activities,Package,Inclusions
Month 1,Week 1,Health Screenings: Introduction to the wellness program and its benefits,Preventive Health Screening Package and Body Composition Analysis,"Comprehensive health screening with personalized health reports. Screenings for blood pressure, cholesterol, and other health metrics to monitor employee health."
,Week 2,Nutrition Workshop: Healthy Eating Habits,Nutritional Consultation Package,Employees receive nutrition consultations and meal plans
,Week 2,Office Exercise Demonstration: Trainer-led session demonstrating simple exercises that can be done at the desk or in the office space.,Office Exercise Package,Employees receive a calendar list of office-friendly exercises to complete throughout the week.
,Week 4,Dance Workout,Dance Fitness Package,Trial sessions to dance classes
Month 2,Week 5,"Ergonomic Training: Workshop to educate employees on ergonomic principles, proper lifting techniques, and ways to prevent musculoskeletal injuries.",Ergonomics Package,"Ergonomic Assessment Tools: Access to ergonomic assessment checklists to evaluate their workstation setup and identify areas for improvement. Free guide on ergonomic best practices, proper posture, and stretching exercises."
,Week 6,Yoga Class,Yoga Pass,Trial sessions to yoga classes
,Week 7,"Introduction to Mindfulness, Meditation, and Breathing: Workshop on the basics of mindfulness, including mindful breathing and awareness exercises.",Guided Meditation Sessions and Breathing Techniques Workshop,Trial sessions to Meditation classes
,Week 8,EMS Demo Session: Introduction to Electrical Muscle Stimulation,EMS Trial,Trial sessions of EMS training
,Week 9,"Stress Management Workshop: Interactive workshop led by a professional on stress reduction techniques, time management, and resilience building.",Stress Management Package,"Distribution of resources such as self-help guides, relaxation techniques, and stress management tools."
Month 3,Week 10,Team Building Activity: Adventure Race,Team Bonding Package,"Team-building activities, obstacle course, scavenger hunt, etc"
,Week 11,Sleep Health Workshop: Strategies for Improving Sleep Quality,Sleep Wellness Package,Sleep trackers or sleep improvement resources provided.
,Week 12,Wrap-up Celebration: Recognition of participation and achievements,Wellness Rewards Package,"Recognition certificates, wellness-themed gifts, or additional vacation days for active participants."
